"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 10 19:07:08 UTC 2026","Wed Jun 10 19:07:09 UTC 2026","792","Surefire suite","Surefire test","AddNewEditContactTests","AddNewEditContactTests","testAddNewContactRequiredData","testAddNewContactRequiredData",""
"broken","Wed Jun 10 19:07:27 UTC 2026","Wed Jun 10 19:07:31 UTC 2026","4041","Surefire suite","Surefire test","EditContactTests","EditContactTests","returnToContactList","returnToContactList",""
"passed","Wed Jun 10 19:07:35 UTC 2026","Wed Jun 10 19:07:37 UTC 2026","1244","Surefire suite","Surefire test","SignUpTests","SignUpTests","testMissingData","testMissingData",""
"passed","Wed Jun 10 19:07:32 UTC 2026","Wed Jun 10 19:07:33 UTC 2026","1266","Surefire suite","Surefire test","SignUpTests","SignUpTests","testEmailAlreadyInUse","testEmailAlreadyInUse",""
"passed","Wed Jun 10 19:07:34 UTC 2026","Wed Jun 10 19:07:35 UTC 2026","1262","Surefire suite","Surefire test","SignUpTests","SignUpTests","testInvalidEmail","testInvalidEmail",""
"passed","Wed Jun 10 19:07:39 UTC 2026","Wed Jun 10 19:07:40 UTC 2026","664","Surefire suite","Surefire test","SignUpTests","SignUpTests","testValidSignUp","testValidSignUp",""
"failed","Wed Jun 10 19:07:12 UTC 2026","Wed Jun 10 19:07:15 UTC 2026","2585","Surefire suite","Surefire test","EditContactTests","EditContactTests","addEditDeleteNewContact","addEditDeleteNewContact",""
"broken","Wed Jun 10 19:07:22 UTC 2026","Wed Jun 10 19:07:26 UTC 2026","4046","Surefire suite","Surefire test","EditContactTests","EditContactTests","onCorrectContact","onCorrectContact",""
"passed","Wed Jun 10 19:07:40 UTC 2026","Wed Jun 10 19:07:42 UTC 2026","1196","Surefire suite","Surefire test","LoginTests","LoginTests","loginInvalidDataTest","loginInvalidDataTest",""
"passed","Wed Jun 10 19:07:10 UTC 2026","Wed Jun 10 19:07:12 UTC 2026","1528","Surefire suite","Surefire test","AddNewEditContactTests","AddNewEditContactTests","testMissingRequiredFields","testMissingRequiredFields",""
"passed","Wed Jun 10 19:07:42 UTC 2026","Wed Jun 10 19:07:43 UTC 2026","1178","Surefire suite","Surefire test","LoginTests","LoginTests","loginMissingDataTest","loginMissingDataTest",""
"passed","Wed Jun 10 19:07:06 UTC 2026","Wed Jun 10 19:07:07 UTC 2026","1036","Surefire suite","Surefire test","AddNewEditContactTests","AddNewEditContactTests","testAddNewContactAllData","testAddNewContactAllData",""
"passed","Wed Jun 10 19:07:16 UTC 2026","Wed Jun 10 19:07:16 UTC 2026","645","Surefire suite","Surefire test","EditContactTests","EditContactTests","deleteContact","deleteContact",""
"passed","Wed Jun 10 19:07:37 UTC 2026","Wed Jun 10 19:07:39 UTC 2026","1267","Surefire suite","Surefire test","SignUpTests","SignUpTests","testPasswordInvalidLength","testPasswordInvalidLength",""
"passed","Wed Jun 10 19:07:44 UTC 2026","Wed Jun 10 19:07:44 UTC 2026","295","Surefire suite","Surefire test","LoginTests","LoginTests","loginValidDataTest","loginValidDataTest",""
"broken","Wed Jun 10 19:07:17 UTC 2026","Wed Jun 10 19:07:21 UTC 2026","4019","Surefire suite","Surefire test","EditContactTests","EditContactTests","editContact","editContact",""
